ID,LATITUDE,LONGITUDE,LOG1,LOG2,TIPO_ACID,QUEDA_ARR,DATA_HORA,DIA_SEM,FERIDOS,FERIDOS_GR,MORTES,MORTE_POST,FATAIS,AUTO,TAXI,LOTACAO,ONIBUS_URB,ONIBUS_MET,ONIBUS_INT,CAMINHAO,MOTO,CARROCA,BICICLETA,OUTRO,TEMPO,NOITE_DIA,REGIAO,DIA,MES,ANO,FX_HORA,UPS
1,-29.97854432,-51.13024154,R UNIAO,,EVENTUAL,0,2000-01-01T01:45:00,SABADO,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BOM,NOITE,NORTE,1,1,2000,1,1
2,-30.05407516,-51.20720948,R GUILHERME SCHELL,,CHOQUE,0,2000-01-01T01:55:00,SABADO,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,BOM,NOITE,LESTE,1,1,2000,1,5
3,-30.01293535,-51.18789517,R DOM PEDRO II,,COLISAO,0,2000-01-01T02:00:00,SABADO,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BOM,NOITE,NORTE,1,1,2000,2,1
4,-30.04350297,-51.2146423,AV JOAO PESSOA,AV JERONIMO DE ORNELAS,ABALROAMENTO,0,2000-01-01T02:50:00,SABADO,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BOM,NOITE,CENTRO,1,1,2000,2,1
5,-30.07955386,-51.22846441,R DONA OTILIA,,ABALROAMENTO,0,2000-01-01T03:00:00,SABADO,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BOM,NOITE,SUL,1,1,2000,3,1
6,-30.10206692,-51.23104303,AV OTTO NIEMEYER,AV DA CAVALHADA,ABALROAMENTO,0,2000-01-01T04:10:00,SABADO,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BOM,NOITE,SUL,1,1,2000,4,1
7,-30.04101151,-51.18641788,AV IJUI,,CHOQUE,0,2000-01-01T07:00:00,SABADO,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,BOM,DIA,LESTE,1,1,2000,7,5
8,-30.03258883,-51.21929308,AV OSVALDO ARANHA,R DA CONCEICAO,COLISAO,0,2000-01-01T08:07:00,SABADO,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,BOM,DIA,NAO_IDENTIFICADO,1,1,2000,8,1
9,-29.98079163,-51.1147034,AV ASSIS BRASIL,AV BERNARDINO SILVEIRA DE AMORIM,ABALROAMENTO,0,2000-01-01T09:00:00,SABADO,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,BOM,DIA,NORTE,1,1,2000,9,1
10,-30.0419579,-51.2177343,AV VENANCIO AIRES,R GEN LIMA E SILVA,COLISAO,0,2000-01-01T09:50:00,SABADO,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BOM,DIA,CENTRO,1,1,2000,9,1
11,-29.99962843,-51.12952807,R ITAPUI,,CHOQUE,0,2000-01-01T10:00:00,SABADO,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,BOM,DIA,NORTE,1,1,2000,10,1
12,-30.02900816,-51.25264342,AV PRESIDENTE VARGAS,,COLISAO,0,2000-01-01T12:30:00,SABADO,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,BOM,DIA,NORTE,1,1,2000,12,5
13,-30.11989613,-51.2241804,AV EDUARDO PRADO,AV DA CAVALHADA,COLISAO,0,2000-01-01T13:30:00,SABADO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,BOM,DIA,SUL,1,1,2000,13,5
