ID,LATITUDE,LONGITUDE,LOG1,LOG2,TIPO_ACID,QUEDA_ARR,DATA_HORA,DIA_SEM,FERIDOS,FERIDOS_GR,MORTES,MORTE_POST,FATAIS,AUTO,TAXI,LOTACAO,ONIBUS_URB,ONIBUS_MET,ONIBUS_INT,CAMINHAO,MOTO,CARROCA,BICICLETA,OUTRO,TEMPO,NOITE_DIA,REGIAO,DIA,MES,ANO,FX_HORA,UPS,
1,-30.0105050806,-51.1500196194,AV ASSIS BRASIL,R ALBERTO SILVA,ABALROAMENTO,0,2009-01-01T04:00:00,QUINTA-FEIRA,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BOM,NOITE,NORTE,1,1,2009,4,1,
2,-30.0580260593,-51.2134476636,R JOSE DE ALENCAR,AV DR CARLOS BARBOSA,ABALROAMENTO,0,2009-01-01T04:40:00,QUINTA-FEIRA,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,BOM,NOITE,SUL,1,1,2009,4,1,
3,-30.2100384942,-51.1751200889,R EUSTAQUIO INACIO DA SILVEIRA,R JOAO VIEIRA DE AGUIAR SOBRINHO,ABALROAMENTO,0,2009-01-01T07:00:00,QUINTA-FEIRA,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BOM,DIA,SUL,1,1,2009,7,5,
4,-30.0147640224,-51.2052984438,AV FARRAPOS,R CONDE DE PORTO ALEGRE,CHOQUE,0,2009-01-01T15:15:00,QUINTA-FEIRA,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BOM,DIA,NORTE,1,1,2009,15,1,
5,-30.0417172272,-51.149745419,AV PROTASIO ALVES,,ABALROAMENTO,0,2009-01-01T17:00:00,QUINTA-FEIRA,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,NUBLADO,DIA,LESTE,1,1,2009,17,1,
6,-30.0453280068,-51.213189333,AV JOAO PESSOA,,ATROPELAMENTO,0,2009-01-01T19:00:00,QUINTA-FEIRA,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,BOM,NOITE,CENTRO,1,1,2009,19,5,
7,-30.1043240681,-51.1724483259,AV PROF OSCAR PEREIRA,,ABALROAMENTO,0,2009-01-01T21:40:00,QUINTA-FEIRA,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BOM,NOITE,SUL,1,1,2009,21,5,
8,-30.0411859258,-51.2163812676,AV VENANCIO AIRES,AV JOAO PESSOA,ABALROAMENTO,0,2009-01-01T23:07:00,QUINTA-FEIRA,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,NUBLADO,NOITE,CENTRO,1,1,2009,23,1,
9,-30.0157603683,-51.1877892431,R GEN COUTO DE MAGALHAES,R CARLOS VON KOSERITZ,ABALROAMENTO,0,2009-01-02T08:00:00,SEXTA-FEIRA,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,NUBLADO,DIA,NORTE,2,1,2009,8,1,
10,-29.9895338023,-51.108089538,R JOSE FERREIRA JARDIM,,COLISAO,0,2009-01-02T10:10:00,SEXTA-FEIRA,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,NUBLADO,DIA,NORTE,2,1,2009,10,1,
11,-29.9881004108,-51.1791874202,AV SEVERO DULLIUS,,COLISAO,0,2009-01-02T12:00:00,SEXTA-FEIRA,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,NUBLADO,DIA,NORTE,2,1,2009,12,1,
12,-30.0196185751,-51.1780772168,AV PLINIO BRASIL MILANO,AV ENG ALFREDO CORREA DAUDT,ABALROAMENTO,0,2009-01-02T12:30:00,SEXTA-FEIRA,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,BOM,DIA,NORTE,2,1,2009,12,1,
13,-30.0322284933,-51.2364752966,R DOS ANDRADAS,,CHOQUE,0,2009-01-02T13:00:00,SEXTA-FEIRA,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,NUBLADO,DIA,CENTRO,2,1,2009,13,1,
14,-30.0179541821,-51.1978504296,AV CRISTOVAO COLOMBO,,CHOQUE,0,2009-01-02T15:15:00,SEXTA-FEIRA,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,CHUVOSO,DIA,NORTE,2,1,2009,15,5,
15,-30.1073098083,-51.2377452493,R DR PEREIRA NETO,R CAMAQUA,QUEDA,0,2009-01-02T17:20:00,SEXTA-FEIRA,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,BOM,DIA,SUL,2,1,2009,17,5,
