LATITUDE,LONGITUDE,LOG1,LOG2,TIPO_ACID,QUEDA_ARR,DATA_HORA,DIA_SEM,FERIDOS,FERIDOS_GR,MORTES,MORTE_POST,FATAIS,AUTO,TAXI,LOTACAO,ONIBUS_URB,ONIBUS_MET,ONIBUS_INT,CAMINHAO,MOTO,CARROCA,BICICLETA,OUTRO,TEMPO,NOITE_DIA,REGIAO,DIA,MES,ANO,FX_HORA,UPS
-30.113607,-51.109206,ESTR JOAO DE OLIVEIRA REMIAO,,ABALROAMENTO,0,2012-01-01T01:00:00,DOMINGO,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,BOM,NOITE,LESTE,1,1,2012,1,5
-30.068932,-51.171722,R CONDOR,,ATROPELAMENTO,0,2012-01-01T02:00:00,DOMINGO,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,BOM,NOITE,LESTE,1,1,2012,2,5
-30.030029,-51.140224,AV ALBERTO PASQUALINI,R VINTE QUATRO DE AGOSTO,ABALROAMENTO,0,2012-01-01T02:30:00,DOMINGO,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BOM,NOITE,NORTE,1,1,2012,2,1
-30.048256,-51.196241,AV IPIRANGA,AV CEL LUCAS DE OLIVEIRA,ABALROAMENTO,0,2012-01-01T02:50:00,DOMINGO,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,BOM,NOITE,LESTE,1,1,2012,2,1
-30.000584,-51.197549,AV PERNAMBUCO,,COLISAO,0,2012-01-01T03:00:00,DOMINGO,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BOM,NOITE,NORTE,1,1,2012,3,1
-30.097561,-51.231414,AV DA CAVALHADA,,CAPOTAGEM,0,2012-01-01T03:20:00,DOMINGO,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,BOM,NOITE,SUL,1,1,2012,3,5
-30.067492,-51.205471,AV PROF OSCAR PEREIRA,,ABALROAMENTO,0,2012-01-01T03:20:00,DOMINGO,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,BOM,NOITE,SUL,1,1,2012,3,1
-30.085897,-51.213889,TRAV FORTALEZA,,CHOQUE,0,2012-01-01T07:00:00,DOMINGO,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,BOM,DIA,SUL,1,1,2012,7,5
-30.079579,-51.226031,R CRUZEIRO DO SUL,,ABALROAMENTO,0,2012-01-01T07:20:00,DOMINGO,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BOM,DIA,SUL,1,1,2012,7,5
-30.036114,-51.208264,R RAMIRO BARCELOS,,CHOQUE,0,2012-01-01T09:10:00,DOMINGO,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,BOM,DIA,CENTRO,1,1,2012,9,5
